,Text,Emotion
5826,im feeling totally lame for not posting anything in forever and not even checking this blog in forever,sadness
5827,i know you say you don t but there s a lot of anger that i m on the receiving end of and it s just how i feel i probably deserve to be hated too,sadness
5828,i feel i don t need to describe how gorgeous the dominican republic was i ll let the film speak for itself,joy
5829,i just didn t end feeling satisfied,joy
5830,i could put a full thought together and didnt feel so lethargic,sadness
5831,i feel in the tragic case of the woman who was raped though hard may it be the baby should be put up for adoption if the woman cannot bear to keep him her,sadness
5832,i notice that i feel a little apprehensive even to share all this,fear
5833,i couldnt help feeling shamed that we didnt take care of him sooner but who would have ever guessed,sadness
5834,i used to think that men needed their women to like and respect all their friends and family in order to feel respected themselves,joy
5835,im feeling rather listless today probably because of whats going on around me,sadness
5836,i feel truly successful that brooklyn has been able to latch on and has had no problem going from breast to bottle and back again without skipping a beat,joy
5837,i feel a bit more confident about them now so heres a gorgeous pair of cream amp lemon shorts i recently purchased in the warehouse sale for,joy
5838,i feel pretty pleased about all day i was worried that perhaps i should have guessed riva but i thought that this was harvey weinstein s one big chance for a win and he s really good at helping people get oscars,joy
5839,i feel very blessed to have a new team of doctors that are by my side and listen,love
5840,im feeling a bit overwhelmed tonight and not really for any good reason,surprise
5841,i feel that it s worthwhile to patronize their restaurant,joy
5842,i am still feeling extremely damaged from many different events some of them seeming to repeat themselves i havent given up nor do i ever plan on,sadness
5844,i ask you to trust this and to celebrate not the images of lives cut short but the feeling of freedom that your hearts can accord when you reach for these lovely spirits and know that you make the connection,love
5845,i really want to be proud to say i ve lost x amount of weight rather than feel discouraged because i m not where i want to be,sadness
5846,i feel pleased but at the same time i really don t understand why do we feel this patriotism only twice every year,joy
5847,im feeling cautiously optimistic about the direction anime is heading,joy
5848,i am thinking about md who was there for me through my teen years offering guidance and support and making me feel special making me feel like i matter,joy
5849,i feel satisfied with the manner in which i have settled in to my new school and feel that i a now in a position to slowly weave my magic,joy
5850,i feel like a dangerous animal as i prowl out of the jungle and onto the warm sand of this deserted island,anger
5853,i feel more free to enjoy the possessions i do have like this rock or that book or these clothes,joy
5854,i am the type of person that absolutely hates to let anyone down and i feel like any time i have to tell him were broke im letting him down,sadness
5855,i feel all shaken up and im waiting for things to settle,fear
5856,i do remember the feel of the book and being incredibly impressed with it and knowing that ill have to read it again,surprise
5857,im sinking back into feeling rejected and also wondering what i could have done differently,sadness
5858,i didnt feel too much it was just casual,joy
5859,i started feeling festive very soon right back in november and i suppose it was inevitable that i ran out of steam before the day itself im feeling all a bit hummpffff today you know so much to do so little time and its all going to be over in a flash,joy
5860,during the last academic year ie just before the closure,fear
5861,i am but all of a sudden i feel ignored and unloved and forgotten and i know its probably mostly in my head but what if it isnt,sadness
5862,i feel like i do for every one and the only one who does for me does it with an attitude and is aggravated to be asked,anger
5863,i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they dont want to do anyway,joy
5864,i know a lot of people are whining that a first boot cant possibly be a favourite but you guys know how i feel about my beloved a href http winterpaysforsummer,joy
5865,i feel honoured to become a journalist on his blog dedicated to this amazing song contest which is eurovision,joy
5866,i want to know and feel loved long after first sight,love
5867,i feel amazed how this sh it things happened to me,surprise
5868,i feel more energetic than i have in years,joy
5869,i give off a different feel im carefree,joy
5870,i guess fiction powers along on good emotions versus bad emotions there wouldnt be much excitement if all the feelings between the characters were sweet and harmonious,love
5871,i feel like i may be veering into some stereotypes pretty soon,joy
5872,i already feel sympathetic to tatsuma and aoi,love
5873,i feel caring concern for ron and especially for his wife who i feel very close connections with,love
5874,im in confuse and feeling so blank rite now,sadness
5875,i woke up this morning with a cold and have been feeling groggy all morning but that didnt stop my sister and her husband from leaving me to babysit all day quite annoyed i kept it too myself and stayed in chill mode,sadness
5876,im feeling a bit nostalgic about this flashback friday entry because i realise how different things are today,love
5877,im lacking in the accessory department but i have a feeling that once i actually start putting the things i own in one place i might be a little more surprised at what i find,surprise
5879,ive been feeling completely stupid about this whole thing,sadness
5880,i still feel it is equally unimportant but in the spirit of a href http blog,sadness
5881,i actually read it im left feeling disillusioned and all the insecurities single ladies attempt to play down on a daily basis surface without me wanting them to,sadness
5883,im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly,anger
5884,i feel very successful in both my family and work life,joy
5885,i feel like i can still hear her cute voice in my ears,joy
5886,i would feel like a hypocrite supporting palin for any of those reasons,joy
5887,i went back to work feeling agitated and lazy which transformed into this state where i just yelled i dont know,anger
5888,ive been a bad bad lazy girl i can feel my muscle aching,sadness
5889,im feeling a little more hopeful about my future and like matty always says i want my world to get bigger,joy
5891,i also wouldnt mind a canon d mark iii if anyone is feeling generous,joy
5892,ive been feeling distressed,fear
5894,i was getting motivated about losing weight and getting healthy and wearing that outfit and feeling fantastic,joy
5895,i know and trust how i feel but i generally shy away from it with strangers,fear
5896,im really feeling skeptical about clinique products,fear
5897,i have found myself a lot lately i feel discouraged about many things in life,sadness
5899,im feeling rebellious amp ive missed the last couple of ffs on twitter so i thought id share two blogs that ive been loving recently,anger
5900,i feel more irritable and i feel more sensible now than ever,anger
5901,id probably be okay wearing either of them as id have more fun making ashlotte and feel gorgeous wearing it but i look more like talim and would most likely have more fun in her costume as itd be easier to sit and move around as well as to get on,joy
5902,i feel like the supportive wife who does whatever he says and sits at home waiting for him to call with a plan of action,love
5903,i always feel glamorous wearing a flowing gucci number no matter what kind of day,joy
5904,i remember hating walking from the car to the my classroom feeling judged and ugly and jeered at with every step,sadness
5905,i resorted to yesterday the post peak day of illness when i was still housebound but feeling agitated and peckish for brew a href http pics,anger
5906,i have a feeling mica isnt that graceful but im willing to be proved wrong and i think jan might pull something fabulous out of the bag,joy
5907,i have no idea if this is interesting for anybody to read but i found myself smiling like a fool laughing at some points and feeling overwhelmed with gratefulness,surprise
5909,i feel pressured when people say im going t beat you or whatever,fear
5910,i wave remember how many people love you and feel our arms supporting you under the deep and painful sea,joy
5911,i feel happy i feel elated but i also thank god for bringing me to this stage,joy
5912,i am now feeling more and more confident and with little improvements here and there i know i can be fighting for a top in most races and a spot in the money if i stay the course,joy
5913,i am currently feeling like you know that kind of devastated desperate feelings trapped inside like somewhere between screaming and crying more of like you want to slash your wrist but you are afraid of death,sadness
5914,i feel blessed that i was there at the right time in the right place to see them and to feel a part of something that i hope will give the people of kuwait hope for progress,love
5915,i feel awkward because v has already asserted that she is doing that,sadness
5916,i have a feeling there are a few more perfect moments coming,joy
5917,i think people reject their feelings because they re terrified of them but the truth is that once you see that you can t die from them and that they actually go away they re not so scary,fear
5918,i feel that this is something i m curious about as someone who listens to current music but i realized that songs become weird and their unique vibe gets lost when non korean songs are translated into korean,surprise
5919,i hate feeling so needy in need of approval in need of money in need of a direction in need of both physical and mental strength even in need of a particular someone in need of knowing what i lack and need,sadness
5920,im feeling somewhat optimistic that in i wont be that damn coward,joy
5921,i want to tell him how i feel how disgusted i am that he can hurt my husband the way he does and then just laugh about it how he treats his grandchildren how he treated my husbands mum and just scream at him to stop being such a selfish bastard because the world does not revolve around him,anger
5922,i keep asking if ive finally grown that th head that was coming in or not because i feel like people are looking at me like ew when i try to be friendly,joy
5923,i feel more terrified than the customers will be in my maze,fear
5924,i woke up four miles away hungry as hell but somehow feeling oddly satisfied,joy
5925,im suddenly feeling lighter less burdened by the weight of my life,sadness
5926,i feel profoundly insulted by this anime how dumb does it think we are,anger
5927,i attended a session in the pub afterwards and i m feeling a bit tender this morning,love
5928,i feel uncertain if the most of similar families can be reached the uncertainty does not preclude us from serving those we can in the meantime while discovering the ways to reach the others,fear
5929,i feel my inner happy present once again,joy
5930,i really don t feel all that bothered by the north london derby,anger
5931,i just be feeling curious about a few tings,surprise
5932,i feel like its the perfect opportunity to apply everything that ive learned thus far on my mission,joy
5933,i can feel again i want to talk about the positive feelings of love good will and support that are raining down upon my detoxified mind and body and on behalf of the team here at iws radio i want to give a virtual hug and say thanks to some people for making me smile during sunday s show,joy
5934,i feel pressured at times to succumb to fear and insecurities but thankfully i am still able to hold it on my own,fear
5935,i do feel confused,fear
5936,i no longer feel depressed and am not mad or haven t yet a href http www,sadness
5937,a friend of mine suggested that i become a film extra the idea seemed very funny to me and my reaction seemed rather outlandish to the others,joy
5938,i am cold and unresponsive or feel unloved,sadness
5939,i feel doubly honoured because both river of a href http river driftingthroughlife,joy
5940,i feel like learning not to judge people is the most important thing we can take away from this reading,joy
5942,i feel like i ll never be as graceful and beautiful as i once thought i was all because i based my opinions on theirs,joy
5943,im not sure theyre right to feel triumphant but they certainly got a lot of comfort from the way the arguments went,joy
5944,i just feel so listless from the gloominess of it all,sadness
5945,i didn t feel terrific,joy
5946,i completed feeling invigorated not sluggish its ffviii,joy
5947,i can really spend some time wit him soon and feel loved again,love
5949,i try to work but i cant concentrate me on something else than you and i log in my private journal to share my feelings my love with my faithful compagnon journal,love
5950,i feel one with the divine intelligence of life and can see it s creative expressions everywhere,joy
5953,i feel to my father in heaven and to your mommy for your sweet life,love
5954,i feel so honored to have amazing sons to celebrate,joy
5955,im feeling so restless today,fear
5956,i mentioned previously it has only been over two months i am feeling hopeful that if i am having more positive thought i might be able to forgive her,joy
5957,i can imagine what my daily life would look like with hardly a material possession to my name and it feels so peaceful but i will probably not be doing away with everything so how do i find the right balance,joy
5958,i noticed myself feeling victimized resentful fearful ripped off crazy my body reacted with sensations of tension and chaos,sadness
5960,i can t help but think what they must be feeling with the loss of jon s talented advanced horse coupled with the joy of a new baby on the way such a mixture of extreme emotions,joy
5961,i feel aching at all times of day,sadness
5962,i am so proud of him and who he has become and i feel privileged to call him brother,joy
5963,i feel appropriately disturbed by the project,sadness
5964,i feel like im taking up some more needy persons place in the er,sadness
5965,i am feeling hopeful excited and very much being made new,joy
5966,i feel more resolved than ever to persevere with the use of web based technology for learning despite problems mistakes and frustrations,joy
5968,i know i shouldnt be reacting this way to it all but i cant help it and i feel terribly petty and horrid but this is the way im reacting and i have to deal with it,anger
5969,i feel glad to have had someone so fine burying their face in my crotch,joy
5970,i feel dumb putting so much thought to such a stupid little thing but its getting to me,sadness
5972,i am feeling very restless irritable and discontent,fear
5973,i can do all things through christ who gives me strength is a lovely little verse that i repeat over and over when im feeling a little unsure about something,fear
5974,i feel increasingly fond of coppers,love
5975,i do feel very contented with this simple homely life,joy
5977,i find myself feeling remarkably calm,joy
5978,i go snowboarding feeling very apprehensive,fear
5979,i am glad he is ok but it makes me feel even more alone in my sadness,sadness
5980,i feel so sympathetic embarrassed for betty here that it s tough to watch,love
5981,i feel like i get more and more frantic with no clue which way to turn what direction my life is going or if i should even care,fear
5982,i mean the blinds that you could pull down when you were feeling particularly romantic,love
5983,i get that its easiest for them to jolt people into submission with electricity but i get the feeling that its becoming a more socially acceptable version of beating someone with a billy club,joy
5984,i feel is superior to mine,joy
5985,i feel sorry for her she had a good thing in dh but she abused it and him resulting in his depression and diagnosis of generalised anxiety with panic features and then lost it,sadness
5986,i realise that desiring a substance to feed a feeling only compounds the desire to feed the feeling i realise ive abused substances since early childhood,sadness
5987,i still feel amazed by its beauty diversity and joie de vivre,surprise
5988,i love earning money and having it but because i grew up in a lower middle class family i feel very appreciative of the money that i do have,joy
5989,i feel kinda lost posted by a href http jumbleupon,sadness
5990,i can t even feel outraged by it,anger
5991,i apologise as a tank if we have a big pull and it all feels messy,sadness
5992,i did in fact feel very strange,surprise
5993,i kind of wish i had come up with those thoughts myself rather than feeling the way i do now a lame disciple merely about to regurgitate eva s thoughts on to you all,sadness
5994,i feel my connection with the divine most strongly when i feel sexy,joy
5995,i didnt start feeling nervous until friday and on saturday i didnt feel as much nervous as scared and respectful of the enormous challenge that laid before me,fear
5996,i feel like ive been a totally hot mess that i had second thoughts about publishing it,love
5998,i don t feel stressed,anger
5999,i feel like wow that s very cool that could be me,joy
6001,i think i feel the coldness more compare to other people who can withstand low temperature,sadness
6002,i am really looking forward to feel like in europe again although somehow i m fond of this place,love
6003,i feel so blessed that we were privileged to go,love
6004,i refused to allow myself to feel dirty but my vulnerability allowed me to be manipulated quite a bit,sadness
6005,i feel reluctant to join the class trip to beijing,fear
6006,i feel tortured by this thought but it feels so true,fear
6007,i feel more adventurous willing to take risks,joy
6009,i began to feel a bit regretful,sadness
6010,watched a horror movie which involved sexual attacks on women,fear
6011,i had a post about english plurals that i started in between acts over the weekend but that ll have to wait until i m feeling with it enough to be clever without being snarky,joy
6012,i almost feel like he was trying to be awkward,sadness
6013,i walked out the disinfected building feeling immensely dirty and lost and couldn t recognize where i was,sadness
6016,i was feeling kinda discouraged because i was stuck but today i proved to myself that i can do things that i didnt think i could do,sadness
6017,im sure she left feeling angry and unhappy but she also caused members of staff to feel angry aggressive and upset hurt as her final say was a personal attack to say we were awful individuals with bad attitudes,anger
6018,i feel may be vital to fiction itself,joy
6019,i quickly learned just by moving from sauna to ice cold bath to steam room to shower until you feel like a tortured goldilocks who wants nothing more than to find the middle ground between too hot and too cold,fear
6020,i just feel drained by most of the gameplay i do,sadness
6021,i feel that disdain from him when i acted as if id been wronged by him,anger
6023,i should feel burdened that the slightest touch from that body even now still lingers upon my skin,sadness
6024,i feel like beloved,love
6025,i feel her sweet sound nice melody of the song,joy
6026,i was so proud of him and i feel so hopeful i realise this is the nature of asd if he is motivated he will let us have a small glimpse of his abilities and it seems toy story lego is the motivator at the moment,joy
6027,i feel you caring even if you will insist you are mean,love
6029,i was feeling pretty cranky about it but when i called the garage door guy this morning he said that his scheduler wasnt in because her husband had a massive heart attack over the weekend hes okay so he couldnt give me a time the repairman will call before he comes,anger
6030,im feeling a little beaten down this week and im not sure why,sadness
6031,i feel rich in it,joy
6032,i want to wimp out on feeling outraged,anger
6034,i have not conducted a survey but it is quite likely that many of them feel as assaulted by onel s demons and other creators as i would have felt had the walls been covered only with eminent figures patriotic heroes and epic deeds,fear
6035,i used to down a large mushroom pizza and a pitcher of beer and feel positively virtuous afterward,joy
6036,i feel that the life issue and posts like this one will just be met with violent and angry rhetoric,anger
6037,i don t want to mention the afternoon because i am a highly conscientious person who would hate like to make you feel that unsuccessful,sadness
6039,ive done so much reading but i feel like im being paranoid by doing all this extra stuff since no one seems to,fear
6040,i feel like my day starts around lunchtime which kind of feels awful,sadness
6041,i feel so comfortable wear it,joy
6042,i was still feeling a bit unsure a bit not convinced still a bit frustrated,fear
6043,i feel remorseful for my dao ness,sadness
6044,i really feel like there s a talented artist buried somewhere inside of ethan,joy
6046,i am posting about a past event where i am feeling like i should be insulted,anger
6047,i wake up every morning and feel like i have been beaten with a baseball bat,sadness
6048,i know this is not specific for me and almost everyone else has a similar experience but i still can t help but feel appalled,anger
6049,i love the response i get from the students and it is such a good feeling when someone who is obviously shy comes and talks to you even if their english isnt great,fear
6050,i start to feel agitated,anger
6051,i didnt feel like suffering through a sleepless night especially with my terrible allergies amp amp fever,sadness
6052,i feeling strange energies,surprise
6053,im fine mary anne answered feeling a little impatient,anger
6054,i feel anyway never afraid of the sea but a healthy respect for the ocean and a sense of harmony and balance,fear
6055,i feel suspicious but i cant walk a way i like him i always had a thing for football players i know ive been m,fear
6056,i feel like my life is the movie sweet home alabama,joy
6058,i feel fairly sure readers will continue to pay for fiction,joy
6059,i feel so relaxed amp light since i emptied myself of this burden that had controlled me for so long,joy
6060,i was able to work in the studio all week though im feeling a bit gloomy about how slowly things seem to be progressing,sadness
6061,i really have gotten to a place where if i go for more than a day or two without writing i begin to feel very anxious very displaced,fear
6062,i feel never fear your fears i will make you fearless,joy
6063,i am feeling very appreciative tonight,joy
6064,i think everyone should make a goal that they feel as passionate about,joy
6065,i feel he just broke up with his girlfriend,sadness
6066,i feel like todd is getting too stressed or tired with caleb i will take him because i dont want caleb to feel that frustration,anger
6067,i would veer from feeling utterly terrified to utterly disorientated to utterly queasy,fear
6068,im stuck feeling too casual and frumpy when i return to the office,joy
6069,i feel far too distracted to actually write anything of substance,anger
6070,i was on the phone with one of my best friends the other day and i told her i don t feel successful,joy
6071,i feel like she shouldnt have blamed him for it but she did and she never forgave him,sadness
6072,i feel that because of our own love of reading and writing that we are more compassionate and understanding about the struggles that both new and established writers go through,love
6073,i feel anxious about a coming event or activity that will require physical energy that i may not have or emotional events that will require emotional energy i look to my parent and adult to take charge,fear
6074,i had been feeling slightly distressed and my pride was resisting me just waiting for the next peregrinos to walk past and help me out,fear
6075,i am feeling restless for some reason today,fear
6077,i say it when im stressed feeling bitchy when im slacking in the toilet or when i feel constipated,anger
6078,i did not make them feel submissive enough and i wonder am i strange or are they,sadness
6080,i feel my heart shaky all the time now,fear
6081,i feel confident in saying the writers of the film are seemingly going to follow through with the classic comic story arc involving gwen stacey even if it doesnt happen until another sequel but i wont ruin that here,joy
6082,im feeling pretty freakin fab,joy
6083,i feel like my bones broke but when i stood up i can still walk,sadness
6084,i hate my feelings which are all about loving this city day by day little by little,love
6085,i have to look for more problems to heap on myself when i already am feeling burdened,sadness
6086,i had a feeling going into this book that its a little too well loved to be orthodox,joy
6087,i really didn t feel like there were any though so i was quite delighted when my brain came up with the amazingly obvious solution of asking the guy who lives in the other half of my duplex if i could just get dsl on his line and set up a wireless network,joy
6088,i feel playful today a href http www,joy
6089,when i was about six years old,fear
6090,i feel like blair just wants to be loved,love
6091,my sister lost one of her twin sons my first nephews and then the older one died a week later,sadness
6092,i always think say now feel a little hesitant i always think say now feel a little hesitant posted on may th by admin,fear
6093,i don t know if i ll continue to feel a dull ache in my leg going forward or not,sadness
6094,im feeling quite agitated irritated amp annoyed,fear
6095,i feel so worthless and weak what does he have to say that s what i want to find out,sadness
6096,i have forgiven anyone who i feel has hurt me,sadness
6097,im feeling lucky button after that you will go to the landing page where you will found the alternative google search engine homepage with colors theme depend on the keywords below,joy
6098,i will feel shy and won t be able to talk to her,fear
6099,i just feel like i need a shower and a really mellow day,joy
6101,i swear he had feelings that teddy i was so convinced of that and i was very very careful to always make him feel special and more loved than any of my other toys and teddies,joy
6103,i love that i feel valuable i love making the choice i love that it s easy to make the choice to feel good,joy
6104,id love to hear your thoughts and comments so please feel free to leave me something below and have a wonderful weekend,joy
6105,i feel the delicious heartburn,joy
6106,i feel a little funny discussing the realness of a portrayal of a condition ive never experienced,surprise
6107,im just figuring these lyrics out myself so apologies if im slightly wrong but it just feels a bit fake,sadness
6108,i haven t seen her since they broke up but now i m in this class and she is here waving at me so i go and sit next to her and get out my stuff and talk to her but i feel really strange about it because she cheated on my friend which i really should have mentioned before,surprise
6109,i feel that they are vulnerable in the coming election given their performance,fear
6110,i feel about kids and this just about broke my heart,sadness
6111,i always feel awkward when im alone in a crowd of peers and feel the need to make friends,sadness
6113,i like the phrase having submissive feelings then being submissive,sadness
6114,i feel love by sweet little arms wrapped around my legs wet kisses on my face and soft round cheeks on my lips,love
6115,i was taunted by the ability of feeling threatened from weakness of frailty beneath this exterior of human existance lies a woman wanting nothing but a man needing his warmth and masculinity,fear
6116,i head upstream to explore bringing my notebook to write up the events of the day and i soon find running water with some small pools big enough to strip down and throw some water on the ole corpse which feels lovely,love
6117,i feel kinda popular,joy
6118,i just feel them around me and it s wonderful it s just wonderful,joy
6119,i was feeling irate and extremely uncomfortable,anger
6120,i look at my life my beautiful family the fact that i feel truly blessed and that all that ive asked from god and the universe all that has happened and beyond how my imagination fathomed it,joy
6121,i am not too sure on how i feel about alec hes either innocent like he says he is or hes a damn good liar,joy
6122,i would feel a violent stab of loneliness,anger
6123,i would feel ashamed or guilty if i were to take too much of the commons for myself,sadness
6124,i continue to succeed in something and having someone seems unattainable because i feel men will be intimidated or when there is a prolonged moment of silence,fear
6125,i feel so petty who one of my first colleagues had not nice things to say about when i first asked for any contacts for investment banks from before i arrived at this job,anger
6126,i am feeling really bad for that guy,sadness
6127,i had been struggling emotionally feeling beaten down and discontented,sadness
6128,im feeling distracted and a little bit flighty,anger
6130,i was feeling disheartened so i turned on the radio hoping music would lift my spirits,sadness
6131,i hate feeling discouraged but i keep trying to start the couch to k again and it just isnt going well at all,sadness
6133,i still feel a craving for sweet food,love
6134,i feel like every once in a while i should stop trying to do the smart thing and really go for my dreams,joy
6136,i guess im feeling better,joy
6137,i wasnt going to post anything about his death because i made me feel mad and shitty,anger
6138,i feel his gracious hand upon my life,love
6140,i feel like you didnt really care that alexis did that to me and you were irritated that i was even telling you,anger
6141,i just do not feel uptight at all,fear
6143,i feel a sense of belonging to the soul of people even if i feel isolated from the collective ego of society,sadness
6145,i suppose in some ways i should feel irritated that if she knew why didn t she do anything to help me with this lone cause i was feeling,anger
6146,i party wah wah wah nationalism blah yay aryans wah boo jews with there stupid brown hair blah blah should feel appreciative that we even talk to them because it makes them cool by association blah blah,joy
6147,im feeling inspired to just wait for the movie,joy
6148,i looked at sams eyes they were tough hiding the strong pent up feelings that tortured him inside,fear
6149,i got home feeling exhausted and discouraged,sadness
6150,i feel more appreciative than worthlessness,joy
6151,i see the areas where i should be doing better and i feel discouraged and condemned but i feel tempted to turn to numbing pleasures more than to despair,sadness
6153,i start feeling myself getting overwhelmed or frustrated i have tried to open up more about it instead of pushing it down deep slapping on a fake smile and waiting until i boil over,fear
6154,i feel pretty terrible physically today,sadness
6155,i was left feeling a little disappointed since it all started so well and finished a little limply,sadness
6157,i had a hard time focusing on my life and walked around feeling dazed and confused,surprise
6158,im feeling generous and you can have two top tips,joy
6159,i am also feeling a bit bitchy about the way things are when we have conversations and others are around,anger
6160,i feel only a little bit weird about making decisions without him,surprise
6161,i feel impressed to discuss sin again though i do not know why,surprise
6162,i do not want folks to think i feel superior due to my aspieness or because of my near genius iq,joy
6163,i want to feel respected even when i do things that you don t understand,joy
6164,ive learned that even when im feeling hopeless theres still hope,sadness
6165,i woke up feeling very disturbed,sadness
6166,i need nine hours but it s true and if i get less even seven hours which is supposed to be the norm and which some people consider a lot i feel grumpy unhappy and seriously unmotivated,anger
6167,i feel the reader will get confused with because it bounces and uses references from its earliest time period which is like the dawn of time till now,fear
6168,i feel the need to tell you that phone calls do provide some useful purpose as annoying as they may be,joy
6170,i can like tbt when i m feeling nostalgic,love
6171,i am not really in financial straits yet so why do i feel so insecure,fear
6172,i hate this and i hate feeling so shitty all the time,sadness
6173,i can already feel the dull atmosphere really,sadness
6174,i also have the feeling i need a very relaxed practice today,joy
6175,i am mellow and feeling particularly fond of all the human race i don t blame fertile people for not really knowing what to say or what to think or how to deal with it all,love
6176,i rid myself of many bad habits only to fall back into them when i feel insecure or vulnerable,fear
6177,id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,anger
6178,ive been feeling weirdly superior about my knowledge of this book roundabouts now,joy
6179,i just feel skeptical,fear
6180,i seem to have managed to start the week with a little bit of a hangover annoyingly so i have been sitting here feeling groggy all day,sadness
6181,i feel that she should change herself and i was too timid to speak up for her except in underground murmurs,fear
6182,i was feeling like a shocked rat in a skinner box experiment,surprise
6183,i feel a little disheartened,sadness
6184,i only feel vaguely remorseful,sadness
6185,i feel blessed to have found such a wonderful friend,joy
6186,im feeling stressed and tired and after that flight i really dont want to get on another one,sadness
6187,i feel hesitant to share something i know and have experienced personally that can offer hope amp eternal life,fear
6188,i feel so insulted because of a woman,anger
6190,i was also feeling pretty low being fired four days before christmas,sadness
6191,im guessing with everyone standing there she was feeling timid about moving through the crowd again,fear
6192,i make it to am and then i make it to pm and then when i make it to the night that s when i feel triumphant and beaten down,joy
6195,i was feeling emotionally drained,sadness
6196,i feel like the legality of our marriage is in tatters thanks to all the hateful lies and messaging from the prop campaign,anger
6197,i will reach out to you when i am feeling uncertain and needing the support or the slap upside the head that i know you can provide me,fear
6199,i wondered if i would feel a bit lost when i got to the end of the programme but at the same time i was looking forward to running to my own music and setting my own goals,sadness
6200,i hurt and feel suspicious and definitely get angry,fear
6201,i also feel respected as a briton by germans,joy
6202,i feel listless most of the time nowadays,sadness
6203,i feel so physically beaten down that it is difficult to think about anything else right now,sadness
6204,ive always been feeling restless and dissatisfied with our relationship,fear
6205,i am a follower friendly blog so feel free to leave a comment so i know you have visited,joy
6206,i cant help it because of the way i feel around my family like pairs of eyes boring into my back and just observing me all the time,sadness
6207,im not sure why i even bothered to open this website let alone this feature but as expected its left me feeling boring poor and,sadness
6208,im feeling the need for a cute little monogrammed one in green for mommy,joy
6209,i am feeling discouraged it is,sadness
6211,i am feeling bitchy cross whatever,anger
6212,ive been feeling needy lately,sadness
6213,i miss the feeling of being useful and of being able to think of something professional or as close to be dubbed so,joy
6214,i began to feel bitter towards them,anger
6215,i was just reporting to a dear soul that the energies feel strange today and wondered if somethings up,fear
6216,i feel a little hopeless sometimes,sadness
6217,i feel like i am living without my apendages and all vital organs,joy
6218,i feel rotten for that but i was so mad at the whole situation i could have thrown a temper tantrum myself,sadness
6219,im feeling virtuous ill make do with a rich tea or hobnob but if money and calories are no object it has to be a k,joy
6220,i keep going back to people are douche canoes because they need to feel superior they need that ego boost they need someone to look down upon,joy
6221,i feel intimidated by other girls acne getting rid of pimples,fear
6222,i feel like karen is being far too greedy pushy demanding on all fronts,anger
6223,i feel that branding in college is way more popular then it was back in high school,joy
6224,i admire makes me feel amazed at my life,surprise
6225,i really thought i was because i liked what i was feeling when in all actuality i hated his personality,anger
6226,ill feel to let all of these things out on this empty space,sadness
6227,ive been really into the more laid back bohemian feeling style and thought these items would be perfect for a beachy california trip,joy
6228,ive been feeling a little frantic recently because our summer together is flying by so quickly,fear
6229,i do feel more isolated since i started working,sadness
6230,i liked just talking to someone and that butterfly like feeling you get when someone is sweet to you and it just felt nice to be noticed again,love
6231,i think its safe to say we were a learning experience for one another and i honestly have nothing but positive feelings and fond memories for you,love
6232,i was trying to think of anywhere else ive been that made me feel so awful awful awful,sadness
6233,i just remember feeling so amazed that this little person and i am only a child was my new brother,surprise
6234,i feel like a haiku is a pleasant note to end on,joy
6235,i have been feeling so strange and frankly bad about how not sad i am,fear
6236,i do feel the need for a little break however like you and for something lovely and quiet,love
6237,i feel sooo bitchy that i made out with devin,anger
6238,i can remember i feel especially impressed to start fresh new and remove clutter,surprise
6240,i feel like people think im just being selfish with my gender if that makes sense,anger
6241,i feel bitchy i guess,anger
6242,i just feel utterly content with everything and being here in a previously unknown place has rekindled my desire to see the world,joy
6243,i think about these two ways of looking at life the more i feel convinced that it is sensible to see it as a lease rather than a gift,joy
6244,i travel i feel like men expect me to be neurotic superficial and easy only sometimes true,fear
6246,i feel that michael jackson is a talented artist since day one and to have collaborative works given by such artistry as ne yo would be very conducive to his comeback,joy
6248,i feel sad when i see your son uhuru being persecuted by men of ill will and a woman martha karua is carrying their bags,sadness
6249,i am allowed to feel guilty about neglecting the work that was due and the part of myself that did want to do it,sadness
6250,i first started and i m feeling more confident behind the wheel,joy
6251,i talk about in this essay is that people feel differently about poetry when they re angry or sad,anger
6252,i feel awkward talking about my book to begin with,sadness
6253,i feel thrilled i feel blessed i feel honored light who s boss,joy
6254,i feel it is unfortunate that my companion differs,sadness
6255,i just saw a post on one girls facebook page that said something to this effect im feelin horny,love
6257,i am still feeling somewhat intimidated but i guess by being safe and cautious and fully aware then i will be ok,fear
6258,i feel completely emotionally exhausted and am pretty much to the point i will have to cut all ties with every man i know,sadness
6259,i know hes upset that ryan did this to me he liked him when he met him and he even thought his feelings for me were sincere,joy
6260,i over think you think i really feel insecure,fear
6262,i arrived in anchorage it only took a few hours after spending time with my parents eating at a local favorite joint and then going on a stroll in my parent s my childhood neighborhood to be able to take a big sigh and feel relieved,joy
6263,i feel like i should be more appreciative but im struggling,joy
6265,i came close to just packing up and heading home but then i wondered would home feel less awful,sadness
6266,i mean i get that its nice to have someone who cares about you like that that a relationship can be a great thing and can feel wonderful but im only so im not looking for that in my life yet,joy
6267,i feel in my belly perfect two you can be the butterflies i a class imagebox href http s,joy
6268,im a little tired of writing about these things and feel like these solemn posts are a bit too much for this home school family blog,joy
6269,i get the feeling he needs to feel accepted and appreciated,joy
